"FullPath","FileName","Extension","Category","Location","ParentFolder","SizeKB","SizeMB","Created","Modified","AgeDays","LikelyScratch","SHA256","DuplicateCount"
"C:\c\ODG\websites\opaldragonfly\html\odg_logo_gold.svg","odg_logo_gold.svg",".svg","2D_Vector","Other","C:\c\ODG\websites\opaldragonfly\html","1649.63","1.611","2026-03-12 12:30:53","2026-03-12 12:30:53","60.4","False","731C595BC0F4721314DED0FE6F3E35CCDD038BB575632D84654BDC806DD384B1","2"
"C:\Dev\rocket sled 3d model.glb","rocket sled 3d model.glb",".glb","3D_Model","Other","C:\Dev","55645","54.341","2026-03-23 08:16:48","2026-03-20 13:22:57","52.4","False","720B86C1BBBF47DCA8C02D1A02B68779921D6CC9473C8DA1905E7EB4D2D0C518","3"
"C:\Downloads\00199874046235 UPC-A SST3.eps","00199874046235 UPC-A SST3.eps",".eps","2D_Vector","Downloads","C:\Downloads","15.57","0.015","2026-03-20 10:42:20","2026-03-20 10:42:21","52.5","False","C29C092AD91FE41924D5B7386D80D8CABBB90458D55639F0D7142C755C09A1F9","2"
"C:\Downloads\00199874617077 UPC-A SST3.eps","00199874617077 UPC-A SST3.eps",".eps","2D_Vector","Downloads","C:\Downloads","14.2","0.014","2026-03-20 10:42:39","2026-03-20 10:42:39","52.5","False","7556CCC50F8C0AA6F7656F6A58E654231680717B5C6AB3B9D73E54E06A293AB1","2"
"C:\Downloads\1Password Emergency Kit A3-4CV6B2-my.pdf","1Password Emergency Kit A3-4CV6B2-my.pdf",".pdf","Document","Downloads","C:\Downloads","45.24","0.044","2026-03-02 10:21:18","2026-03-02 10:21:18","70.5","False","BA9ADAB4116F702048276CEF9F38881FBBFE86618D2084671BBD746ACA797F70","1"
"C:\Downloads\54-card-tuck-box.png","54-card-tuck-box.png",".png","2D_Raster","Downloads","C:\Downloads","118.88","0.116","2026-03-17 22:26:56","2026-03-17 22:26:56","55","False","33972DDE10399625555399611F4162F7561A3B1A2C88B6F61FBCCF67EB94317A","1"
"C:\Downloads\54-card-tuck-box.svg","54-card-tuck-box.svg",".svg","2D_Vector","Downloads","C:\Downloads","97.88","0.096","2026-03-17 22:26:52","2026-03-17 22:26:52","55","False","E464F34884A50BD01F51B9E437D1599E4B5B9B3DD3C841967B1FC10A4B9A14AD","1"
"C:\Downloads\Customer.pdf","Customer.pdf",".pdf","Document","Downloads","C:\Downloads","373.12","0.364","2026-03-04 08:30:18","2026-03-04 08:30:18","68.6","False","2154E526531BC049935CE65AD2E50CFFB78B7CF57465BA2D7DE0FF9EE82625AA","1"
"C:\Downloads\CustomMediumCardstock.svg","CustomMediumCardstock.svg",".svg","2D_Vector","Downloads","C:\Downloads","41.41","0.04","2026-03-05 10:11:58","2026-03-05 10:11:59","67.5","False","DB0E1A602285DEEBA7EEFCB5205676A0AD4F71869BF49C046DD51DE698416A46","1"
"C:\Downloads\dramatic_ejection_se_#4-1773768066923.wav","dramatic_ejection_se_#4-1773768066923.wav",".wav","Audio","Downloads","C:\Downloads","90.08","0.088","2026-03-17 12:21:14","2026-03-17 12:21:14","55.4","False","C8B8E03413C6197A143672599B28D8900FAB4059E61290BBEBCCAF3E6D406EA1","1"
"C:\Downloads\generation__images.zip","generation__images.zip",".zip","Archive","Downloads","C:\Downloads","1751.31","1.71","2026-03-12 11:26:10","2026-03-12 11:26:11","60.4","False","E31138C600F1952F7F71BD511F0474DEFA97530AEDF529722CC31C863A9113B9","1"
"C:\Downloads\generation_1f123f4f-c45c-67e0-9b5f-a8724767a484_images.zip","generation_1f123f4f-c45c-67e0-9b5f-a8724767a484_images.zip",".zip","Archive","Downloads","C:\Downloads","7782.82","7.6","2026-03-23 15:41:00","2026-03-23 15:41:00","49.3","False","F4B45E3606B669086876544961DF92C287F8E7FB66DFF07250D6E024C9835672","1"
